agency_name;route_short_name;route_long_name;Type;bus_type;route_id;<-- REMARK;col_7;REMARK -->;route_short_name_1;route_long_name_1;route_id_1
Connexxion;199;Schiphol  P30 - Amstelveen Praam;Streekbus;1;66482;;;;199;Schiphol Centrum - Schiphol Noord - Schiphol Oost - Amsterdamse Bos - Amstelveen Westwijk;62530
Connexxion;202;Blaricum - Amsterdam;;;1490;spitsbus;;;;;
Connexxion;209;Blaricum - Amsterdam;;;62095;spitsbus;;;;;
Connexxion;210;Bussum - Weesp;;;41660;spitsbus;;;;;
GVB;222;Station Sloterdijk - Houthavens;;;67174;spitsbus;;;;;
GVB;231;Station Sloterdijk - Abberdaan;;;494;spitsbus;;;;;
Overal (Connexxion);232;Hoorn Station - Blokker - Wervershoof - Andijk;;;63645;spitsbus;;;232;Hoorn - Zwaag - Wervershoof - Andijk;60804
GVB;240;Amstel.Stat via ScienceP - Muiderp.st viaScienceP;;;67173;spitsbus from 14:30;;;;;
Connexxion;242;Mijdrecht - Amsterdam Station Zuid via Amstelveen;;;62542;spitsbus;;;;;
Connexxion;244;Haarlem Delftplein - Amsterdam Station Zuid;;;66064;spitsbus;;;;;
GVB;245;Oostzanerdijk - Schiphol Zuid;;;21612;spitsbus;;;;;
GVB;246;Borneolaan - Schiphol Zuid;;;21432;spitsbus;;;;;
GVB;247;Bos en Lommerplein - Schiphol Zuid;;;21613;spitsbus;;;;;
GVB;248;Centraal Station - Houthavens;;;60663;spitsbus;;;;;
Overal (Connexxion);250;Middenmeer - Alkmaar Station;;;63685;spitsbus;;;;;
Overal (Connexxion);251;Alkmaar Station - Petten via ECN;;;60835;spitsbus 6:00 - 11:00 en 14:30 - 20:00;;;;;
Connexxion;255;Haarlem Station - Amsterdam Bijlmer ArenA;;;62549;spitsbus from 14:00;;;;;
GVB;265;Amstelstation - Muiderpoortstation;;;67390;spitsbus from 14:00;;;;;
GVB;265;Muiderpoortstation - Amstelstation;;;67175;spitsbus;;;;;
Connexxion;271;Amsterdam Gaasperplas - Aalsmeer Floraholland;;;67264;spitsbus;;;;;
Connexxion;287;Schiphol Airport - Douglassingel via Beechavenue;;;63677;spitsbus;;;;;
Connexxion;300;Haarlem Station - A'dam Bijlmer ArenA via Airport;Streekbus;1;63638;;;;300;Haarlem - Vijfhuizen - Hoofddorp - Schiphol - Amstelveen Oranjebaan - Ouderkerk aan de Amstel - Amsterdam Zuidoost;62525
EBS;301;van Amsterdam Noord naar Purmerend/ Edam;Streekbus;1;60889;;;;301;Amsterdam Buiksloterwegveer - Amsterdam Noord - Ilpendam - Purmerend - Edam;60889
EBS;304;van Amsterdam Noord naar Purmerend;Streekbus;1;60885;;;;304;Amsterdam Noord - Ilpendam - Purmerend De Gors - Purmerend Purmer;60885
EBS;305;van Amsterdam CS naar De Rijp;Streekbus;1;60886;;;;305;Amsterdam CS - Ilpendam - Purmerend - Middenbeemster - De Rijp;60886
EBS;306;van Amsterdam CS naar Purmerend;Streekbus;1;60887;;;;306;Amsterdam CS - Ilpendam - Purmerend Wheermolen - Purmerend M.L. Kingweg;60887
EBS;307;Van Amsterdam Noord naar Purmerend;Streekbus;1;60888;;;;307;Amsterdam Noord - Ilpendam - Purmerend Purmer - Purmerend Baanstee;60888
EBS;308;van Amsterdam Noord naar Purmerend;Streekbus;1;60891;;;;308;Amsterdam Noord - Ilpendam - Purmerend Weidevenne;60891
EBS;309;van Amsterdam Sloterdijk naar Purmerend;Streekbus;1;62475;;;;309;Amsterdam Sloterdijk - Ilpendam - Purmerend Purmer;62475
EBS;312;van Amsterdam Noord naar Edam-Volendam;Streekbus;1;60895;;;;312;Amsterdam Noord - Broek in Waterland - Volendam - Edam;60895
EBS;314;van Amsterdam CS naar Hoorn;Streekbus;1;409;;;;314;Amsterdam CS - Broek in Waterland - Edam - Scharwoude - Hoorn;409
EBS;315;van Amsterdam Noord naar Marken;Streekbus;1;60897;;;;315;Amsterdam Noord - Broek in Waterland - Monnickendam - Marken;60897
EBS;316;van Amsterdam CS naar Volendam-Edam;Streekbus;1;60896;;;;316;Amsterdam CS - Broek in Waterland - Volendam - Edam;60896
EBS;319;van Amsterdam Noord naar Landsmeer;Streekbus;1;60899;;;;319;Amsterdam Noord - Landsmeer;60899
Connexxion;320;Amsterdam - Hilversum;Streekbus;1;63657;;;;320;Hilversum - Blaricum Bijvanck - Huizen - Blaricum Ziekenhuis - Naarden - Muiden - Amsterdam Amstel;51872
allGo (Keolis);322;Amsterdam Amstel via 't Oor - Almere Parkwijk;Streekbus;1;54596;now 72596;;;322;Almere Station Parkwijk - Tussen de Vaarten - Sallandsekant - Danswijk - Veluwsekant - Busstation 't Oor - Gooisekant - Middenkant - Station Poort - Muiden P+R - Diemerknoop - Amsterdam Middenweg - Amstelstation;54596
allGo (Keolis);323;A'dam Bijlmer via 't Oor - Almere Parkwijk;Streekbus;1;61376;now 67765;;;;;
allGo (Keolis);327;Amsterdam Amstel via Muiden P+R - Almere Haven;Streekbus;1;66978;;;;327;Almere Haven - Busstation 't Oor - Muiden P+R - Diemerknoop - Amsterdam Middenweg - Amstelstation;54599
allGo (Keolis);328;A'dam Bijlmer via Muiden P+R - Almere Haven;Streekbus;1;66977;;;;328;Almere Haven - Busstation 't Oor - Muiden P+R - Diemerknoop - Amsterdam Daalwijkdreef - Bijlmerplein - Bijlmer ArenA;61375
Connexxion;340;Haarlem Station - Uithoorn via Hoofddorp Station;Streekbus;1;65606;;;;340;Haarlem - Heemstede - Hoofddorp - Rozenburg - Aalsmeer - Uithoorn - Mijdrecht;62513
Connexxion;341;Spaarne Gasthuis - WTC/Zuid via Hoofddorp Station;Streekbus;1;62512;;;;341;Hoofddorp - Schiphol - Amsterdam Zuid;62512
Connexxion;342;Uithoorn - Schiphol Knooppunt Noord via Airport;Streekbus;1;63626;;;;342;Schiphol - Aalsmeer - Uithoorn;62183
Connexxion;346;Haarlem Station - Amsterdam Station Zuid;Streekbus;1;62515;;;;346;Haarlem - Amsterdam Zuid;62515
Connexxion;347;Uithoorn - Amsterdam Elandsgracht via Amstelveen;Streekbus;1;62514;;;;347;Amsterdam Centrum - Amstelveen - Uithoorn;62514
Connexxion;348;Uithoorn - Amsterdam Station Zuid via Amstelveen;Streekbus;1;62511;;;;348;Amsterdam Zuid - Amstelveen - Uithoorn;62511
Arriva;350;Alkmaar - Leeuwarden;Streekbus;1;210;Concessie Noord- en Zuidwest-Fryslân en Schiermonnikoog;;;;;
Connexxion;356;Haarlem Station - A'dam Bijlmer ArenA via KP Noord;Streekbus;1;63678;;;;356;Haarlem - Schiphol Noord - Amstelveen Ouderkerkerlaan - Ouderkerk aan de Amstel - Amsterdam Zuidoost;62546
Connexxion;357;Aalsmeer - Amsterdam Elandsgracht via Amstelveen;Streekbus;1;62547;;;;357;Amsterdam Centrum - Amstelveen - Aalsmeer;62547
Connexxion;358;Kudelstaart/Aalsmeer - A'dam Station Zuid via ASV;Streekbus;1;62545;;;;358;Amsterdam Zuid - Amstelveen - Aalsmeer - Kudelstaart;62545
Arriva;361;Sassenheim via Lisse - Schiphol Airport;Streekbus;1;42409;;;;361;Sassenheim - Lisse - Schiphol;42409
Arriva;365;Schiphol Airport - Leiden Centraal;Streekbus;1;52884;;;;365;Leiden - Leiderdorp - Roelofarendsveen - Hoofddorp - Schiphol;52884
EBS;375;van Amsterdam ZO naar Purmerend;Streekbus;1;62476;;;;;;
EBS;376;van Amsterdam ZO naar Purmerend;Streekbus;1;62478;;;;376;Amsterdam Zuidoost - Diemen - Ilpendam - Purmerend;62478
EBS;377;van Amsterdam ZO naar Purmerend;Streekbus;1;62477;;;;;;
EBS;378;van Amsterdam ZO naar Edam;Streekbus;1;62480;;;;;;
EBS;379;van Amsterdam ZO naar Hoorn;Streekbus;1;62479;;;;;;
Connexxion;382;IJmuiden Seaport - Amsterdam Station Sloterdijk;Streekbus;1;63648;;;;382;Amsterdam Sloterdijk - Amsterdam Westpoort - Haarlemmerliede - Velsen Zuid - IJmuiden;51871
Connexxion;385;Haarlem Station - IJmuiden;Streekbus;1;63647;;;;385;Haarlem - Santpoort - Driehuis - IJmuiden;51870
Connexxion;391;Amsterdam CS - Zaandijk Zaanse Schans;Streekbus;1;63665;;;;391;Amsterdam Centraal - Zaandam De Vlinder - Kogerveld - Zaanse Schans;51874
Connexxion;392;Amsterdam - Zaandam Station;Streekbus;1;63666;;;;392;Amsterdam Noord - Oostzaan - Zaandam De Vlinder - Zaandam Station;61334
Connexxion;393;Amsterdam CS - Zaandam ZMC;Streekbus;1;67285;;;;;;
Connexxion;394;Amsterdam CS - Zaandam Station;Streekbus;1;63668;;;;394;Amsterdam Centraal - Zaandam De Vlinder - Zaandam Station;51877
Connexxion;395;Amsterdam Station Sloterdijk - Wormerland P+R;Streekbus;1;63667;;;;395;Amsterdam Sloterdijk - Zaandam De Vlinder - ZMC - Kogerveld - Wijdewormer;51876
Connexxion;397;Nieuw Vennep - Amsterdam Elandsgracht via Airport;Streekbus;1;63734;;;;397;Nieuw Vennep - Hoofddorp - Schiphol - Amsterdam Elandsgracht;62529
Overal (Connexxion);398;Amsterdam Riekerpolder - Zaandam De Vlinder - ZMC;;;51878;Spitsbus, per 03-01-21 opgeheven;;?;398;Amsterdam Riekerpolder - Zaandam De Vlinder - ZMC;51878
Connexxion;401;Bennebroek - Hoofddorp Station via Spaarnegasthuis;Streekbus;1;62537;;;;401;Hoofddorp - Zwaanshoek - Bennebroek;62537
Overal (Connexxion);406;Schagen Station - Zijdewind - Waarland;Buurtbus;1;60803;;;;406;Schagen - Waarland;60803
Overal (Connexxion);407;Buurtbus Heerhugowaard;Buurtbus;1;66381;;;;;;
Overal (Connexxion);408;Heiloo 't Loo - Egmond aan Zee;Buurtbus;1;61036;;;;408;Egmond aan Zee - Egmond Binnen - Heiloo;61036
Overal (Connexxion);409;Obdam - Ursem - Heerhugowaard;Buurtbus;1;60801;;;;409;Heerhugowaard - Ursem - Obdam;60801
Overal (Connexxion);411;Tuitjenhorn - Schagen Station;Buurtbus;1;60844;;;;411;Schagen - Sint Maartensvlotbrug - Burgerbrug - Tuitjenhorn / Schagen - Stroet - Kalverdijk - Tuitjenhorn;60844
Overal (Connexxion);412;Hoorn Station - Hem - Hoogkarspel - Bovenkarspel;Buurtbus;1;60845;;;;412;Hoorn - Schellinkhout - Wijdenes - Hem - Venhuizen - Hoogkarspel - Grootebroek;60845
EBS;413;van Purmerend naar Beets;Buurtbus;1;7450;;;;413;Purmerend - Kwadijk / Middelie - Oosthuizen - Warder - Schardam - Beets;7450
Connexxion;414;Krommeniedijk - Oost-Knollendam;Buurtbus;1;1646;;;;414;Krommeniedijk - Krommenie - Assendelft - Wormerveer - Wormer - Oost-Knollendam;1646
Overal (Connexxion);415;Medemblik - Wervershoof - Westwoud - Hoorn Station;Buurtbus;1;60840;;;;415;Hoorn - Oostblokker - Westwoud - Oostwoud - Wervershoof - Medemblik;60840
EBS;416;van Purmerend naar De Rijp;Buurtbus;1;7449;;;;416;De Rijp - Westbeemster - Middenbeemster - Beemster - Zuidoostbeemster - Purmerend;7449
Overal (Connexxion);416;Kreileroord - Schagen Station;Buurtbus;1;60841;;;;416;Schagen - Zijpe - Anna Paulowna - Wieringerwaard - Wieringerwerf - Kreileroord;60841
Overal (Connexxion);417;Schagen Station - Obdam;Buurtbus;1;60842;;;;417;Schagen - Barsingerhorn - Winkel - Nieuwe Niedorp - Hoogwoud - Opmeer - Obdam;60842
Connexxion;419;Ilpendam - Overleek - Monnickendam - Zuiderwoude - Uitdam - Zuiderwoude - Broek in Waterland;Buurtbus;1;60893;;;;419;Ilpendam - Overleek - Monnickendam - Zuiderwoude - Uitdam - Zuiderwoude - Broek in Waterland;60893
Overal (Connexxion);438;Enkhuizen - Bovenkarspel - Wervershoof;Buurtbus;1;60823;;;;438;Enkhuizen - Bovenkarspel - Grootebroek - Andijk - Wervershoof;60823
Connexxion;456;Assendelft - Zaandam Station;Buurtbus;1;30493;;;;456;Zaandam - Nauerna - Assendelft;30493
Arriva;470;Alphen aan den Rijn - Schiphol Airport;Streekbus;1;52885;;;;470;Alphen aan den Rijn - Woubrugge - Rijnsaterwoude - Leimuiden - Schiphol;52885
Connexxion;481;Haarlem Vijver  - Haarlem Delftplein;Buurtbus;1;52499;;;;481;Haarlem Delftplein - Santpoort - Bloemendaal - Overveen - Haarlem Ramplaankwartier;52499
Syntus Utrecht;522;Vreeland via Nigtevecht - Weesp;Buurtbus;1;57646;Buurtbus = Streekbus;;;;;
Connexxion;568;Haarlem - Cruquius Paswerk;;;63641;Spitsbus;;;;;
Connexxion;602;Naarden - Amsterdam;;;25186;Schoolbus;;;;;
Overal (Connexxion);606;Alkmaar Station - Bergen Europese School;;;63679;Schoolbus;;;;;
Connexxion;609;Blaricum - Amsterdam;;;62097;Schoolbus;;;;;
Overal (Connexxion);612;Hoorn Station - Hem - Hoogkarspel - Bovenkarspel;;;63661;Schoolbus;;;;;
EBS;614;van Volendam naar Hoorn;;;66257;Schoolbus;;;;;
Overal (Connexxion);617;Hoogwoud - Obdam;;;60825;Schoolbus;;;;;
Overal (Connexxion);636;Aartswoud - Hoogwoud - Hoorn Station;;;60846;Schoolbus;;;;;
Connexxion;640;Hoofddorp Station - Hoofddorp Kaj Munkweg;;;66580;Schoolbus;;;;;
Overal (Connexxion);650;Lelystad - Enkhuizen - Wervershoof;;;60810;Schoolbus;;;;;
Overal (Connexxion);652;Den Helder Station - Schagen Station;;;63655;Schoolbus;;;;;
Overal (Connexxion);653;Kreileroord - Wieringerwerf - Middenmeer - Schagen;;;63656;Schoolbus;;;;;
Overal (Connexxion);658;Schagen Station - Anna Paulowna Station;;;60806;Schoolbus;;;;;
Overal (Connexxion);660;Alkmaar Station - Alkmaar Hogeschool;;;60792;Schoolbus;;;;;
Connexxion;663;Rijsenhout - Hoofddorp Station;;;66059;Schoolbus;;;;;
Connexxion;680;Zwanenburg - Heemstede;;;52490;Schoolbus;;;;;
Arriva;858;Schiphol Airport - Keukenhof;;;66727;Speciale bus;;;;;
Arriva;859;Hoofddorp - Keukenhof;;;66741;Speciale bus;;;;;
Arriva;870;Alphen aan den Rijn - Schiphol Airport;;;60911;Speciale bus;;;;;
Connexxion;891;Amsterdam CS - Zaandijk Zaanse Schans;;;67169;Speciale bus;;;;;
Overal (Connexxion);FLEX;AML-FLEX: Uithoorn - Amstelveen;Streekbus;1;62518;vaste uurdienst tot ca. 19:00 uur;;;;;
Overal (Connexxion);FLEX;AML-FLEX: Rijsenhout - Schiphol Rijk;Streekbus;1;62519;vaste uurdienst tot ca. 19:00 uur;;;;;
Overal (Connexxion);FLEX;AML-FLEX: Buitenkaag - Nieuw Vennep;Streekbus;1;62522;vaste uurdienst tot ca. 19:00 uur;;;;;
Overal (Connexxion);FLX;Overal Flex Schagen;;;65696;Flexbus;;;;;
EBS;FLX;Overal Flex Winkel;;;65697;Flexbus;;;;;
EBS;FLX;Overal Flex Anna Paulowna;;;65698;Flexbus;;;;;
EBS;FLX;Overal Flex Castricum;;;65702;Flexbus;;;;;
EBS;FLX;Overal Flex Heiloo;;;65703;Flexbus;;;;;
allGo (Keolis);FLX;Overal Flex Alkmaar;;;65704;Flexbus;;;;;
allGo (Keolis);FLX;Overal Flex Hoorn;;;65715;Flexbus;;;;;
allGo (Keolis);N01;van Amsterdam CS naar Purmerend;;;7451;Nachtbus;;;;;
Syntus Utrecht;N04;van Amsterdam CS naar Purmerend;;;7438;Nachtbus;;;;;
Connexxion;N10;van Amsterdam CS naar Edam;;;7432;Nachtbus;;;;;
Connexxion;N14;van Amsterdam CS naar Hoorn;;;7434;Nachtbus;;;;;
Connexxion;N21;Almere Buiten via Filmwijk - A'dam Leidseplein;;;62504;Nachtbus;;;;;
Connexxion;N22;Almere Oostv. via Poort - A'dam Leidseplein;;;62506;Nachtbus;;;;;
Overal (Connexxion);N23;Almere Haven Centrum - Amsterdam;;;62503;Nachtbus;;;;;
Overal (Connexxion);N26;Woerden via Mijdrecht - Amsterdam;;;57928;Nachtbus;;;;;
Connexxion;N30;IJmuiden Dennekoplaan - Amsterdam Bijlmer ArenA;;;63689;Nachtbus;;;;;
GVB;N32;Hilversum - Huizen;;;1224;Nachtbus;;;;;
GVB;N47;Uithoorn Busstation - Amsterdam CS via Amstelveen;;;62510;Nachtbus;;;;;
GVB;N57;Aalsmeer - Amsterdam CS IJzijde via Amstelveen;;;62531;Nachtbus;;;;;
GVB;N60;Alkmaar Station - Heerhugowaard;;;60827;Nachtbus;;;;;
GVB;N69;Amsterdam Elandsgracht - Alkmaar Station;;;66065;Nachtbus;;;;;
GVB;N80;Amsterdam Centrum - Beverwijk Station;;;65718;Nachtbus;;;;;
GVB;N81;Centraal Station - Station Sloterdijk;;;67180;Nachtbus;;;;;
GVB;N82;Centraal Station - Geuzenveld;;;67181;Nachtbus;;;;;
GVB;N83;Centraal Station - Osdorp de Aker;;;67182;Nachtbus;;;;;
Connexxion;N84;Centraal Station - A'veen Busstation;;;67176;Nachtbus;;;;;
Connexxion;N85;Centraal Station - Gein;;;67177;Nachtbus;;;;;
GVB;N86;Centraal Station - Station Bijlmer ArenA;;;67178;Nachtbus;;;;;
Connexxion;N87;Centraal Station - Station Bijlmer ArenA;;;67179;Nachtbus;;;;;
GVB;N88;Centraal Station - Nieuw Sloten;;;67183;Nachtbus;;;;;
Connexxion;N89;Centraal Station - IJburg;;;67184;Nachtbus;;;;;
Connexxion;N90;Amsterdam - Zaandam Station;;;67253;Nachtbus;;;;;
Connexxion;N90;Knooppunt Noord - P30/Knooppunt ZW via Airport;;;63640;Nachtbus;;;;;
NS;N91;Centraal Station - Nieuwendam;;;67172;Nachtbus;;;;;
NS;N92;Amsterdam Leidseplein - Zaandam Station;;;1525;Nachtbus;;;;;
NS;N93;Centraal Station - Molenwijk;;;67171;Nachtbus;;;;;
NS;N94;Amsterdam Leidseplein - Zaandam NS;;;61049;Nachtbus;;;;;
NS;N95;Amsterdam Langsom - Schiphol via Badhoevedorp;;;66380;Nachtbus;;;;;
NS;N97;Nieuw Vennep - Amsterdam CS IJzijde via Airport;;;62526;Nachtbus;;;;;
NS;Snelbus i.p.v. trein;Snelbus i.p.v. trein Leiden Centraal <-> Schiphol Airport;;;67417;Snelbus i.p.v. trein;;;;;
NS;Snelbus i.p.v. trein;Snelbus i.p.v. trein Amersfoort Centraal <-> Amsterdam Centraal;;;67420;Snelbus i.p.v. trein;;;;;
NS;Snelbus i.p.v. trein;Snelbus i.p.v. trein Amsterdam Centraal <-> Utrecht Centraal;;;67423;Snelbus i.p.v. trein;;;;;
NS;Snelbus i.p.v. trein;Snelbus i.p.v. trein Almere Centrum <-> Amsterdam Centraal;;;67324;Snelbus i.p.v. trein;;;;;
NS;Stopbus i.p.v. trein;Stopbus i.p.v. trein Hilversum <-> Weesp;;;67393;Snelbus i.p.v. trein;;;;;
NS;Stopbus i.p.v. trein;Stopbus i.p.v. trein Amsterdam Centraal <-> Weesp;;;67398;Snelbus i.p.v. trein;;;;;
NS;Stopbus i.p.v. trein;Stopbus i.p.v. trein Amersfoort Centraal <-> Hilversum;;;67410;Snelbus i.p.v. trein;;;;;
;Stopbus i.p.v. trein;Stopbus i.p.v. trein Amsterdam Muiderpoort <-> Amsterdam Science Park;;;67426;Snelbus i.p.v. trein;;;;;
;Stopbus i.p.v. trein;Stopbus i.p.v. trein Amersfoort Centraal <-> Weesp;;;67427;Snelbus i.p.v. trein;;;;;
;Stopbus i.p.v. trein;Stopbus i.p.v. trein Alkmaar <-> Amsterdam Centraal;;;52980;Snelbus i.p.v. trein;;;;;
;Stopbus i.p.v. trein;Stopbus i.p.v. trein Alkmaar <-> Zaandam;;;52988;Snelbus i.p.v. trein;;;;;
;Stopbus i.p.v. trein;Stopbus i.p.v. trein Alkmaar <-> Uitgeest;;;52644;Snelbus i.p.v. trein;;;;;
;Stopbus i.p.v. trein;Stopbus i.p.v. trein Alkmaar <-> Den Helder;;;52983;Snelbus i.p.v. trein;;;;;
